filename,prompt,style,tempo,key
bgm_chapter3_wind,Wind adventure music， flowing and breezy， flute and strings， gentle movement， soaring feeling， open sky， D major， 118 BPM， forward momentum， nature elements， free and light， instrumental,adventurous,flowing,uplifting,118,D major
bgm_chapter3_starry,Dreamy starry sky approach， twinkling sound effects， celestial bells with soft bass， magical night atmosphere， gentle arpeggios， wonder and beauty， E minor， 100 BPM， floating in space， cosmic but cute， constellation theme， instrumental,wonderful,dreamy,cosmic,100,E minor
bgm_chapter3_boss,Cloud kingdom finale， grand but gentle， piano and orchestra， Cinnamoroll theme， epic sky castle， fluffy and majestic， C major， 125 BPM， triumphant and soft， heavenly choir， cotton cloud orchestra， instrumental,majestic,triumphant,heavenly,125,C major
bgm_chapter4_lazy,Lazy afternoon jazz， warm and cozy， double bass with soft brushes， relaxed vibe， sunny garden， coffee shop atmosphere， F major， 85 BPM， slow and comfortable， lo-fi hip hop elements， napping under tree， instrumental,relaxed,cozy,jazzy,85,F major
bgm_chapter4_garden,Garden stroll music， acoustic guitar and whistle， light and carefree， flower blooming， walking pace， nature sounds， G major， 110 BPM， casual and happy， bird chirping， gentle breeze， instrumental,carefree,happy,natural,110,G major
bgm_chapter4_tea,Tea party background music， elegant and cute， harpsichord with strings， Victorian but kawaii， pastry and tea， friends chatting， C major， 105 BPM， genteel and sweet， porcelain cups， macarons and cakes， instrumental,elegant,cute,refined,105,C major
bgm_chapter4_boss,Perfect afternoon finale， satisfying conclusion， full acoustic band， Pompompurin theme， fulfillment and happiness， golden hour， F major， 112 BPM， warm and complete， contented sigh， best day ever， instrumental,fulfilling,warm,happy,112,F major
bgm_chapter5_mischief,Mischievous prank music， playful and slightly naughty， clarinet and xylophone， cartoon villain vibes， but cute and funny， not scary， D minor， 130 BPM， sneaky but adorable， Kuromi theme， prankster energy， instrumental,mischievous,playful,naughty,130,D minor
bgm_chapter5_chase,Cartoon chase music， fast and exciting， classic cartoon orchestration， Tom and Jerry style， but kawaii version， running and hiding， C minor， 140 BPM， energetic chase， comedic tension， slapstick elements， instrumental,energetic,exciting,comedic,140,C minor
bgm_chapter5_truth,Emotional revelation music， transformation from mischief to heart， piano solo building to strings， touching moment， character growth， friendship understanding， A major， 95 BPM， emotional and warm， tears of joy， misunderstood but kind， instrumental,emotional,touching,warm,95,A major
bgm_chapter5_boss,Friendship reconciliation finale， emotional climax， orchestral emotional theme， redemption arc， friendship prevails， group hug feeling， D major， 120 BPM， heartfelt and moving， Kuromi joins the friends， happy ending， instrumental,heartfelt,moving,triumphant,120,D major
bgm_chapter6_entrance,Dreamy starry entrance， cosmic but kawaii， synthesizer arpeggios with bells， vast space， Little Twin Stars theme， magical portal， E major， 100 BPM， floating in galaxy， shooting stars， nebula colors， instrumental,cosmic,dreamy,magical,100,E major
bgm_chapter6_galaxy,Galaxy walking music， weightless and beautiful， ambient electronic with orchestra， space wonder， shimmering sounds， aurora borealis， A major， 95 BPM， slow and majestic， starlight journey， cosmic beauty， instrumental,majestic,beautiful,weightless,95,A major
bgm_chapter6_constellation,Constellation puzzle music， elegant and smart， connecting dots with sound， geometric beauty， harp and celesta， star patterns， C major， 108 BPM， satisfying connections， puzzle solving， light bulb moments， instrumental,elegant,intelligent,satisfying,108,C major
bgm_chapter6_final,Grand finale celebration， all characters together， full orchestral epic with choir， ultimate climax， fireworks and joy， graduation ceremony feeling， C major， 135 BPM， triumphant and emotional， all Sanrio friends， dream come true， best ending ever， instrumental,epic,triumphant,celebratory,135,C major
bgm_event_christmas,Christmas Sanrio theme， jingle bells and cute elements， winter wonderland， snowflakes and decorations， classic Christmas melody with kawaii twist， F major， 120 BPM， festive and warm， Hello Kitty Christmas party， instrumental,festive,warm,joyful,120,F major
bgm_event_halloween,Halloween Sanrio theme， spooky but cute， organ and theremin， trick or treat， not scary， just fun and costumes， D minor， 115 BPM， playful Halloween， Kuromi leading the fun， instrumental,playful,spooky,cute,115,D minor
bgm_event_valentine,Valentine Sanrio theme， romantic and sweet， violin and piano， love letters and chocolates， pink hearts everywhere， confession scene， F major， 100 BPM， heartwarming romance， My Melody's love story， instrumental,romantic,sweet,heartwarming,100,F major
bgm_story_scene,Gentle story dialogue background music， emotional and supportive， soft piano with strings， character conversation atmosphere， heartwarming and gentle， C major， 80 BPM， calm and peaceful， story telling music， instrumental,gentle,emotional,calm,80,C major
bgm_victory,Victory celebration jingle， triumphant and happy， bright brass with chimes， level complete feeling， satisfying reward sound， C major， 130 BPM， short and impactful， game victory music， instrumental,triumphant,happy,victorious,130,C major
